Text,Weight,Pos Tag
Ic,6,NN
Return,6,NN
Yr,6,NN
Credit,6,NN
Yesterday,6,NN
Ðÿž,6,NN
Man,6,NN
Part,6,NN
Loyal,6,NN
Fill,6,NN
Schedule,6,NN
Effort,6,NN
Assist,6,NN
Claim,6,NN
Daughter,6,NN
Pvd,6,NN
Fault,6,NN
Catch,6,NN
Imagine,6,NN
Departure,6,NN
Anything,6,NN
Terminal,6,NN
Cabin,6,NN
Pleasant,6,NN
Note,6,NN
Situation,6,NN
Seen,6,NN
Desk,6,NN
Company,6,NN
Bwi,6,NN
Aww,6,NN
Jb,6,NN
Jetblue',6,NN
Speak,6,NN
Virgin,5,NN
ºï,5,NN
Hand,5,NN
Sign,5,NN
Beat,5,NN
Award,5,NN
Yall,5,NN
Delight,5,NN
Status,5,NN
Dance,5,NN
Ny,5,NN
Base,5,NN
Iâ,5,NN
Sort,5,NN
Coffee,5,NN
Mean,5,NN
Ur,5,NN
Charge,5,NN
Tea,5,NN
Destination,5,NN
Ll,5,NN
Fare,5,NN
Luck,5,NN
Bird,5,NN
Ahead,5,NN
Avail,5,NN
Access,5,NN
Captain,5,NN
Remind,5,NN
Answer,5,NN
Pleasure,5,NN
Iad,5,NN
Food,5,NN
Option,5,NN
Word,5,NN
Charlotte,5,NN
Hr,5,NN
TRUE,5,NN
Report,5,NN
Star,5,NN
Club,5,NN
Mad,5,NN
Wife,5,NN
Mdw,5,NN
Mine,5,NN
Œðÿ,5,NN
Chance,5,NN
Seattle,5,NN
Reach,5,NN
Beach,5,NN
Power,5,NN
Question,5,NN
Bluemanity,5,NN
Usair,5,NN
Photo,5,NN
Country,4,NN
Nothing,4,NN
Lo,4,NN
Stat,4,NN
Correct,4,NN
Ve,4,NN
Gold,4,NN
Faster,4,NN
Picture,4,NN
Pdx,4,NN
Fav,4,NN
Pls,4,NN
Celebrate,4,NN
Bday,4,NN
Stewardess,4,NN
Omg,4,NN
Dal,4,NN
Ƒðÿ,4,NN
Dad,4,NN
Removal,4,NN
Method,4,NN
Cessna's,4,NN
Pay,4,NN
Cancun,4,NN
Small,4,NN
Office,4,NN
Took,4,NN
System,4,NN
Pair,4,NN
Integrate,4,NN
Tampa,4,NN
Example,4,NN
Attention,4,NN
Couple,4,NN
Row,4,NN
Proud,4,NN
Refund,4,NN
Complaint,4,NN
Relate,4,NN
Promise,4,NN
Form,4,NN
Told,4,NN
Link,4,NN
Came,4,NN
Stay,4,NN
Yup,4,NN
Priority,4,NN
Funny,4,NN
Hotel,4,NN
Surprise,4,NN
Lga,4,NN
